State Street Foundation,1,2010,Nov-09,Received,,Capital,"$30,000 ",Haley House Bakery Café,,,,,,,
Boston Jewish Community Women’s Fund,1,2010,Nov-09,Received,,Program,"$10,000 ",Take Back the Kitchen,,,,,,,
FEMA,1,2010,Nov-09,Received,,Program,"$4,000 ",Soup Kitchen,,,,,,,
Mercantile Bank,1,2010,Nov-09,Received,,Capital,"$8,000 ",Soup Kitchen,Soup Kitchen,,,,,,
John H. & H. Naomi Tomfohrde Foundation,1,2010,Nov-09,Received,,Program,"$5,000 ",Art is Life itself!,,,,,,,
Schrafft Charitable Trust,1,2010,Dec-09,Received,,Program,"$15,000 ",Take Back the Kitchen,,,,,,,
Schrafft Charitable Trust,1,2010,Jan-10,Received,,Program,"$10,000 ",Take Back the Kitchen,,,,,,,
Cabot Family Charitable Trust,1,2010,Feb-10,Received,,Program,"$10,000 ",Haley House Bakery Café,,,,,,,
FEMA,1,2010,Apr-10,Received,,Program,"$4,750 ",Soup Kitchen,,,,,,,
Lawrence and Anne Rubenstein Charitable Foundation,1,2010,Jun-10,Received,,Program,"$5,000 ",Soup Kitchen,Elder Meals,,,,,,
New Balance Foundation,1,2010,Jun-10,Received,,Program,"$10,000 ",Take Back the Kitchen,,,,,,,
Cabot Family Charitable Trust,1,2010,Jun-10,Received,,Program,"$10,000 ",Haley House Bakery Café,,,,,,,
Boston Jewish Community Women’s Fund,1,2011,Jul-10,Received,,Program,"$10,000 ",Take Back the Kitchen,,,,,,,
CJP Combined Jewish Philanthropies,1,2011,Jul-10,Received,,Program,"$5,000 ",Take Back the Kitchen,,,,,,,
Vincent Mulford Foundation,1,2011,Jul-10,Received,,Capital,"$35,000 ",Capital,JLH,,,,,,
Project Bread,1,2011,Sep-10,Received,,Program,"$15,000 ",Soup Kitchen/Food Pantry,,,,,,,
Pappas Foundation,1,2011,Sep-10,Received,,Program,"$5,000 ",Transitional Employment Program,,,,,,,
American Heart Association Community Impact Grant,1,2011,Sep-10,Received,,Program,"$6,750 ",Take Back the Kitchen,,,,,,,
New Balance Foundation,1,2011,Sep-10,Received,,Program,"$10,000 ",Take Back the Kitchen,,,,,,,
Margret Pahl Stewart Foundation,1,2011,Oct-10,Received,,General Operating,"$30,000 ",General Operating,,,,,,,
City of Boston,1,2011,Oct-10,Received,,Capital,"$10,000 ",Capital,23 Dartmouth ,,,,,,
Schrafft Charitable Trust,1,2011,Dec-10,Received,,Program,"$15,000 ",Take Back the Kitchen,,,,,,,
Foundation for Purposeful Living,1,2011,Dec-10,Received,,Program,"$1,500 ",Art is Life itself!,,,,,,,
Weider Family Trust,1,2011,Dec-10,Received,,Program,"$5,000 ",Transitional Employment Program,,,,,,,
Weider Family Trust,1,2011,Dec-10,Received,,Capital,"$10,000 ",Capital,JLH,,,,,,
Charlesbank Homes,1,2011,Dec-10,Received,,Capital,"$38,000 ",Capital,JLH,
Pappas Foundation,1,2011,Dec-10,Received,,Program,"$5,000 ",Transitional Employment Program,,
Greenleaf Foundation,1,2011,Feb-11,Received,,General Operating,$100 ,,Concept Paper?,
CJP Combined Jewish Philanthropies,1,2011,Mar-11,Received,,Program,"$5,000 ",Take Back the Kitchen,,
State Street Foundation,1,2011,Apr-11,Received,,General Operating,"$15,000 ",General Operating,,
Brown Rudnick Foundation,1,2011,May-11,Received,,Capital,"$2,000 ",TBK (A/V system),,
Susan and Donald Babson Foundation,1,2011,Jun-11,Received,,Program,"$1,000 ",TBK Farm Trips,,
Cabot Family Charitable Trust,1,2011,Jun-11,Received,,Program,"$10,000 ",Haley House Bakery Café,,
BJ’s Charitable Foundation,1,2012,Aug-11,Received,,Program,"$7,500 ",Take Back the Kitchen,,
New Balance Foundation,1,2012,Sep-11,Received,,Program,"$15,000 ",Take Back the Kitchen,,
Project Bread,1,2012,Sep-11,Received,,Program,"$15,000 ",Soup Kitchen/Food Pantry,,
Margret Pahl Stewart Foundation,1,2012,Oct-11,Received,,General Operating,"$30,000 ",General Operating,,
Clipper Ship Foundation ,1,2012,Oct-11,Received,,Capital,"$10,000 ",23 Dartmouth,,
Forest Foundation,1,2012,Dec-11,Received,,Program,"$4,500 ",Haley House Bakery Café,Interns?,
Schrafft Charitable Trust,1,2012,Dec-11,Received,,Program,"$15,000 ",Take Back the Kitchen,,
Lawrence and Anne Rubenstein Charitable Foundation,1,2012,Dec-11,Received,,Program,"$5,000 ",Soup Kitchen,Elder Meals,
Trefler Foundation,1,2012,Mar-12,Received,,Program,"$10,000 ",Take Back the Kitchen,,,,,,,
FEMA,1,2012,Mar-12,Received,,Program,"$1,250 ",Soup Kitchen/Food Pantry,,,,,,,
American Heart Association Community Impact Grant,1,2012,May-12,Received,,Program,"$15,000 ",Take Back the Kitchen,,,,,,,
Whole Kids Foundation,1,2012,May-12,Received,,Program,"$2,000 ",McKinley Garden,,,,,,,
New Balance Foundation,1,2012,May-12,Received,,Program,"$15,000 ",Take Back the Kitchen,,,,,,,
Susan and Donald Babson Foundation,1,2012,Jun-12,Received,,Program,"$1,000 ",Take Back the Kitchen ,Farm trips,,,,,,
The Boston Foundation Vision Fund,1,2013,Jul-12,Received,,General Operating,"$5,000 ",Haley House Bakery Café,Basement consulting,,,,,,
Cabot Family Charitable Trust,1,2013,Jul-12,Received,,Program,"$10,000 ",Haley House Bakery Café,,,,,,,
Project Bread,1,2013,Sep-12,Received,,Program,"$15,000 ",Soup Kitchen,,,,,,,
John H. & H. Naomi Tomfohrde Foundation,1,2013,Oct-12,Received,,Program,"$5,000 ",Soup Kitchen,,,,,,,
John H. & H. Naomi Tomfohrde Foundation,1,2013,Oct-12,Received,,Program,"$5,000 ",Transitional Employment Program,,,,,,,
Fallon Community Health Plan,1,2013,Nov-12,Received,,Program,"$1,000 ",Soup Kitchen/Food Pantry,Food pantry,,,,,,
Bank of America: Perpetual Trust for Charitable Giving,1,2013,Nov-12,Received,,General Operating,"$15,000 ",Haley House Bakery Café,,,,,,,
Eastern Bank Charitable Trust,1,2013,Nov-12,Received,,Capital,"$10,000 ",Haley House Bakery Café,Basement build out,,,,,,
Paul and Edith Babson Foundation,1,2013,Nov-12,Received,,Capital,"$5,000 ",McKinley Garden,,,,,,,
Margaret Pahl Stewart Foundation,1,2013,Nov-12,Received,,General Operating,"$25,000 ",Soup Kitchen,Operational?,,,,,,
Lawrence and Anne Rubenstein Charitable Foundation,1,2013,Dec-12,Received,,Program,"$5,000 ",Soup Kitchen,Elder Meals,,,,,,
City of Boston,1,2013,Dec-12,Received,,Capital,"$20,000 ",Haley House Bakery Café,Basement build out,,,,,,
Curaterra Foundation,1,2012,Dec-12,Received,,General Operating,"$2,500 ",23 Dartmouth,,,,,,,
"Building America Community Development Entity, Inc.",1,2013,Jan-13,Received,,Program,"$5,000 ",Soup Kitchen/Housing/Job Training,,,,,,,
Boston Cultural Council,1,2013,Jan-13,Received,,Program,"$3,500 ",Art is Life itself,,,,,,,
Lynch Foundation,1,2013,Feb-13,Received,,Capital,"$15,000 ",Haley House Bakery Café,Basement build out,,,,,,
Schrafft Charitable Trust,1,2013,Apr-13,Received,,Program,"$15,000 ",Take Back the Kitchen,,,,,,,
Northeastern Students for Giving,1,2013,Apr-13,Received,,General Operating,"$2,000 ",General Operating,McKinley Garden,,,,,,
American Heart Association Community Impact Grant,1,2013,May-13,Received,,Program,"$5,000 ",Take Back the Kitchen,,,,,,,
First Parish in Lincoln,1,2013,May-13,Received,,General Operating,"$2,000 ",General Operating,,,,,,,
Reebok Foundation,1,2013,May-13,Received,,Program,"$5,000 ",Take Back the Kitchen,,,,,,,
Trefler Foundation,1,2013,10-Jun-13,Received,,Program,"$10,000",Take Back the Kitchen,,,,,,,
New Balance Foundation,1,2014,2-Jul-13,Received,,Program,"$15,000",Take Back the Kitchen,,,,,,,
Foundation for Purposeful Living,1,2014,15-Jul-13,Received,,Program,"$2,000 ",Community Tables,General Operating,,,,,,
Clipper Ship Foundation,1,2014,8/15/13,Received,,Capital,"$10,000 ",Soup Kitchen,New walk in fridges,,,,,,
Project Bread,1,2014,10/1/13,Received,,Program,"$15,000 ",Soup Kitchen/Food Pantry,,,,,,,
Krupp Family Foundation,1,2014,11/15/13,Received,,General Operating,"$5,000 ",Haley House Bakery Café,General Operating,,,,,,
Fallon Community Health Plan,1,2014,11/17/13,Received,,General Operating,"$1,000 ",Soup Kitchen/Food Pantry,,,,,,,
Charles Engelhard Foundation,1,2014,11/19/13,Received,,General Operating,"$10,000 ",General Operating,Birthday gift ,,,,,,
Bushrod H. Campbell and Adah F. Hall Charity Fund,1,2014,12/6/13,Received,,Program,"$5,000 ",Soup Kitchen/Food Pantry,Elder Meals,,,,,,
Bank of America Charitable Foundation,1,2014,12/6/13,Received,,General Operating,"$20,000 ",Haley House Bakery Café,General Operating,,,,,,
Cabot Family Charitable Trust,1,2014,12/16/13,Received,,General Operating,"$10,000 ",Haley House Bakery Café,General Operating,,,,,,
Schrafft Charitable Trust,1,2014,12/20/13,Received,,Program,"$5,000 ",Take Back the Kitchen,McKinley Garden,,,,,,
Lawrence and Anne Rubenstein Charitable Foundation,1,2014,12/20/13,Received,,Program,"$5,000 ",Soup Kitchen,Elder Meals,,,,,,
Richard and Susan Smith Family Foundation,1,2014,1/14/14,Received,,Capital,"$26,700 ",Haley House Bakery Café,New catering vehicle and wrap,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
