gid,name,rank,potential,askStatus,requestType,programHaleyHouse1,programHaleyHouse2,programHaleyHouse3,programHaleyHouse4,programHaleyHouse5,fundingType1,fundingType2,fundingType3,unsolicited_proposals,mission,oldMission,website,street_address,city,state,zip_code,phone,email,contact_first_name,contact_last_name,contact_email,contact_phone_number,notes
47,Hitachi Foundation,1,"$5,000.00",submitting,nf,tep,,,,,,,,,"economically disadvantaged, job training, workforce development",Workforce development and training for low-wage employees,http://www.hitachifoundation.org/our-work/business-and-work-grants-program/18-guidelines-for-grantseekers,"1215 17th Street, NW",Washington,DC,20036,(202) 457-0588,info@hitachifoundation.org,,,,,
48,Knight Foundation,1,"$5,000.00",submitting,nf,hhbc,tep,,,,,,,,"arts, community development, culture","Black male leadership and education, arts & culture",http://www.knightfoundation.org/what-we-fund/,"200 South Biscayne Boulevard, Suit 3300",Miami,FL,33131,(305) 908-2600,web@knightfoundation.org,,,,,
49,JP Morgan Chase,1,,submitting,nf,aili,tep,,,,,,,,"arts, community development, culture, education, financial literacy, job training","Community development (includes job training & financial literacy, Education, Arts & Culture",http://www.jpmorganchase.com/corporate/Corporate-Responsibility/corporate-philanthropy.htm,"106 Corporate Park Drive, Floor 2",White Plains,NY,10604,,northeastgiving@jpmchase,Dennis,McDermott,,,
50,Microsoft Corporation Grants,1,,submitting,,,,,,,,,,,"Provide nonprofits with affordable access to the technology they need to support their work in local communities, and to leverage technology to help them be more efficient, effective and innovative",,http://www.microsoft.com/about/corporatecitizenship/en-us/community-tools/nonprofits/,One Microsoft Way,Redmond,WA,98052-6399,,,,,,,
51,Open Society Soros Justice Fellowhip,1,,submitting,,,,,,,,,,Human rights,,,http://www.soros.org/grants/justice-initiative-fellows-program,224 West 57th St,New York,NY,10019,(212) 548-0600,,,,,,
52,Mass Humanities,4,"$5,000.00",submitting,nf,aili,,,,,,,,,"civic engagement, humanities","Programs that use history, literature, philosophy, and the other humanities disciplines to enhance and improve civic life",http://www.masshumanities.org/deadlines,66 Bridge Street ,Northampton,MA,01060,(413) 584-8440,,,,,,
53,Home Depot: Community Impact Grant,2,"$5,000.00",submitting,nf,mg,,,,,,,,,agriculture,Planting trees or community gardens and/or landscaping community facilities that serve veterans,http://homedepotfoundation.org/page/applying-for-a-grant,2455 Paces Ferry Rd,Atlanta ,GA,30339,,hd_foundation@homedepot.com,,,,,
54,Lowe's Charitable and Educational Foundation,2,,submitting,nf,,,,,,,,,,"public education, community improvement projects",,http://www.lowes.com/cd_The+Lowes+Charitable+and+Educational+Foundation_474741445_,,,,,,,,,,,
55,Kid's Gardening: Subaru Healthy Sprouts Award,2,$400.00,submitting,nf,mg,,,,,,,,,"agriculture, education",Edible school gardents,http://grants.kidsgardening.org/2012-subaru-healthy-sprouts-award,,,,,,,,,,,
56,NGA/Home Depot: Youth Garden Grants,2,$500.00,submitting,nf,mg,,,,,,,,,Youth Gardening,,http://grants.kidsgardening.org/2013-youth-garden-grant-award,"National Gardening Association, 237 Commerce St, Suite 101",Williston,VT,05495,1-800-538-7476,,,,,,
58,Boston Private Bank & Trust Company,4,,submitting,nf,,,,,,,,,,"promote community development, affordable housing, economic development, asset building, financial education, youth programs and social/human service programs that assist lower income people, families and areas.",,https://www.bostonprivatebank.com/index.cfm/page/Philanthropic-Giving-and-Community-Service/pid/10314,"Boston Private Bank & Trust Company
Ten Post Office Square",Boston,MA,02109,(617) 912-1900,,,,,,
59,Bank of America: Frank Reed & Margaret Jane Peters Memorial Fund I,3,"$15,000.00",submitting,nf,sk,,,,,,,,,"education, health, human services",,https://www.bankofamerica.com/philanthropic/foundation.go?fnId=43,,,,,,,,,,,
60,Hyams Foundation,3,"$30,000.00",submitting,r,hhbc,tep,,,,,,,,"afforable hounsing, teen development, civic engagement",,http://www.hyamsfoundation.org/WhatWeFund/GrantmakingGoals.aspx,"50 Federal St, 9th Floor",Boston,MA,02110,(617) 426-5600,info@hyamsfoundation.org,,,,,
61,Cummings Foundation,4,,submitting,nf,tep,,,,,,,,,,,http://www.cummingsfoundation.org/,"Cummings Foundation Ince, 200 West Cummings Park",Woburn,MA,01801,,cpcom@cummings.com,,,,,
62,Garfield Foundation,4,,submitting,nf,,,,,,,,,,,,http://www.garfieldfoundation.org/grants/,89 North Water St,New Bedford,MA,02750,(508) 997-3199,inquiry@garfieldfoundation.org,,,,,
63,Social Venture Partners: Boston,1,"$25,000.00",submitting,nf,tep,tbk,,,,,,,,"economic mobility, education, families, workforce development","Education, workforce development, family economic mobility",http://svpb.publishpal.com/pp/com/page2/p/contact,11 Concord St,Charlestown,MA,02129,,info@svpboston.org,,,,,
64,Gardiner Howland Shaw Foundation,3,,submitting,nf,tep,,,,,,,,,"re-entry, social justice","Reintegration, criminal and juvinille justice revamp",http://www.shawfoundation.org/index.php,355 Boylston St.,Boston,MA,02116,(617) 247-3500,,,,,,
66,Weider Family Trust,1,"$5,000.00",submitting,r,tep,,,,,,,,,Nutrition,,http://www.weider.com/pages/about-us,"Weider Global Nutrition, 2212 E Williams Field Rd, Ste 230",Gilbert,AZ,85295,1-800-435-3948,online@weider.com,,,,,
67,Sanders Fund,4,"$3,000.00",submitting,r,sk,fp,,,,,,,,homeless,Homeless individuals in Boston,,"Rackemann, Sawyer & Brewster 160 Federal Street, 15th Floor",Boston,MA,02110,(617) 951-1108,,,,,,
68,Foley Hoag Foundation (GMA),4,"$4,000.00",submitting,r,hhbc,,,,,,,,,"race relations, racial equality",Race relations in Boston,http://www.foleyhoag.com/thefirm/thefoleyhoagfoundation.aspx,155 Seaport Boulevard,Boston ,MA,02210,(617) 832-1000,,,,,,
69,Harry Chapin Foundation,4,"$5,000.00",submitting,r,mg,,,,,,,,,"arts, education, environmental sustainability","Environment, education, arts",http://www.harrychapinfoundation.org/focus_focusandguidelines.php,7 Park Center Court,Owings Mills,MD,21117,(410) 654-8500,,,,,,
70,Albert J. and Anne Kaneb Family Fund,3,"$10,000.00",submitting,r,hhbc,,,,,,,,,,,,,,,,,,,,,,
71,Hartford Foundation,4,,submitting,r,,,,,,,,,,,,,,,,,,,,,,,
72,Charles Hayden Foundation,3,"$25,000.00",fullProposal,nf,tbk,hh,,,,pgm,,,n,youth,youth development,http://www.charleshaydenfoundation.org/about.php,"GMA Foundations, 77 Summer Street, 8th Floor",Boston,MA,02110,(617) 426-7080,,,,,,
73,John W. Henry Family Foundation,1,"$5,000.00",fullProposal,nf,aili,tbk,sk,fp,,,,,,"arts, environmental sustainability, youth","arts, youth development, self-reliant and local food system, medicine, community",http://www.johnwhenryfamilyfoundation.org/,"301 Yamato Road,  Suite 2200",Boca Raton,FL,33431,,,,,,,
74,Cabot Family Charitable Trust,1,"$10,000.00",fullProposal,r,,,,,,ops,,,,,,http://www.cabwel.com/cabot_family_charitable_trust_v3.htm,70 Federal Street 7th Floor,Boston,MA,02110,,,Katherine,McHugh,,,
75,Amelia Peabody Charitable Trust,1,"$35,000.00",fullProposal,r,,,,,,cap,,,y,,,http://www.apcfund.org/guidelines.html,"185 Devonshire Street, Suite 600",Boston,MA,02110,(617) 451-6178,,,,,,
76,Amelia Peabody Wellesley Foundation,1,"$15,000.00",fullProposal,r,,,,,,,,,y,"economically disadvantaged, education, youth","increase the number, range, and depth of positive learning experiences available to materially disadvantaged young people living in the cities and towns of Massachusetts.",http://ameliapeabody.org/,,,,,,,,,,,
77,American Heart Association,1,"$15,000.00",fullProposal,r,tbk,,,,,pgm,,,y,,y,http://www.heart.org/HEARTORG/,"300 5thAve, Suite 6",Waltham,MA,02451,,,Aleah ,Graziano,Aleah.Graziano@heart.org,(781) 373-4510,
78,Anna B. Stearns Charitable Foundation,1,"$20,000.00",fullProposal,r,,,,,,pgm,,,y,"girls, women",girls and women,http://stearnsfoundation.grantsmanagement08.com/?page_id=3,"GMA, 77 Summ",Boston,MA,02110,(617) 391-3081,,Kirstie,David,,(617) 391-3081,
79,Arthur F. Blanchard Trust,4,"$15,000.00",fullProposal,,,,,,,ops,,,n,,,,,,,,,,,,,,
81,Susan and Donald Babson Foundation,1,"$1,000.00",fullProposal,r,,,,,,pgm,,,y,"Enrichment and empowerment of people of all ages around the world, so as to prevent exploitation, poverty and injustice",,http://www.babsonfoundation.org/?page_id=5,77 Summer St,Boston ,MA,02110,(617) 391-3087,mjenney@gmafoundations.com,,,,,
82,Bennett Foundation,3,"$2,500.00",submitting,,,,,,,,,,n,"focuses on organizations that help teens get re-connected to a supportive community, with the services and skills they need to become independent adults. ",,http://www.bennettfoundation.org/Welcome.html,,,,,,trustees@bennettfoundation.org,,,,,
83,BJ's Charitable Foundation,3,"$10,000.00",submitting,,SK,TBK,,,,pgm,,,y,"children, families (hunger, self-sufficiency, healthcare, education)",,http://www.bjs.com/bjs-charitable-foundation.content.about_charitable.A.about_community2,"BJ Foundation, PO Box 5230",Westborough,MA,01281,,mediarelations@BJs.com,,,,,
84,Leonard & Hilda Kaplan Charitable Foundation,3,"$20,000.00",submitting,nf,,,,,,,,,n,,,,700 Pleasant St,New Bedford,MA,02740,,,,,,,
85,Barr Foundation,4,"$25,000.00",submitting,nf,,,,,,ops,,,n,"arts, climate, culture, education","Education, Climate, Arts & Culture",http://www.barrfoundation.org/grantmaking/ideas/,"Barr Foundation, The Pilot House, Lewis Wharf",Boston,MA,02110,(617) 854-3500,info@barrfoundation.org,,,,,
87,USDA Farm to Table Support Services,4,"$45,000.00",submitting,nf,,,,,,"ops, pgm, cap",,,y,Farm to school grants,,http://www.fns.usda.gov/cnd/f2s/f2_2013_grant_program.htm,"Food & Nutrition Service, 3101 Park Center Dr",Alexandria,VA,22302,,farmtoschool@fns.usda.gov,,,,,
88,Boston Cultural Council,1,"$3,500.00",accepted,nf,,,,,,pgm,,,y,"arts, culture",arts and culture,http://www.cityofboston.gov/arts/bcc/,,,,,,,Arreen,Andrew,Arreen.Andrew@cityofboston.gov,(617) 635-2437,
89,Lynch Foundation,3,"$15,000.00",pending,nf,,,,,,cap,,,y,,,,"Two International Pl., 26th Floor",Boston,MA,02110,(617) 753-6490,,Katie,Everett,,,
90,City of Boston: Department of Neighborhood Development,1,"$20,000.00",accepted,r,,,,,,cap,,,y,,,https://dnd.cityofboston.gov/,,,,,,,,,,,
91,John H. & H. Naomi Tomfohrde Foundation,1,"$10,000.00",accepted,r,AILI,SK,TEP,,,pgm,,,y,"cultural, social and civic betterment of the community and particularly which foster the advancement of higher education, the classic arts, scientific research in biomedicine and the improvement of community health",,http://www.cybergrants.com/tomfohrde/grant.html,"160 Federal Street, 13th Floor",Boston,MA,02110,(617) 951-1108,smonahan@rachemann.com,Susan T.,Monahan,smonahan@rackemann.com,,
92,Project Bread,1,"$15,000.00",submitting,r,,,,,,"pgm, ops",,,y,,,http://support.projectbread.org/site/PageServer?pagename=home_page,145 Border St,East Boston,MA,02128,,,Eileen,Terchiak,,,
93,Whole Kids Foundation,1,"$2,000.00",,r,,,,,,,,,y,,,https://www.wholekidsfoundation.org/,550 Bowie St,Austin ,TX,78703,,info@WholeKidsFoundation.org,,,,,
94,New Balance Foundation,1,"$15,000.00",,,,tbk,,,,,,,,"Childhood obesity, Education & Athletics, Health & Human Services, Arts & Culture, Environment",,http://www.newbalancefoundation.org/foundation.htm,20 Guest St,Boston ,MA,02135,,newbalancefoundation@newbalance.com,Megan,Bloch,,,
95,Reebok Foundation,3,"$10,000.00",submitting,nf,,,,,,pgm,,,y,,,,,,,,,,Jessica,Franklin,jessica.franklin@reebok.com,(781) 401-7055,
96,Margret Pahl Stewart Foundation,1,"$30,000.00",accepted,r,,,,,,ops,,,y,,,,45 Woodcreek Dr,Woodcreek,TX,78676-3336,,,Marvin,Farris,,,
97,Clipper Ship Foundation,1,"$10,000.00",submitting,r,,,,,,"ops, pgm",,,y,"human services, emergency disaster situation",,http://clippershipfoundation.org/,"77 Summer St., 8th Fl.",Boston,MA,02110,,,Hannah,Blaisdell,hblaisdell@gmafoundations.com,(617) 391-3088,
99,Boston Foundation: Vision Fund,1,"$7,500.00",accepted,r,,,,,,pgm,,,y,,,http://www.tbf.org/investing-in-non-profits/other-financial-support/the-vision-fund,"75 Arlington Street, 10th Floor",Boston,MA,02116,(617) 338-1700,info@tbf.org,Stephanie,Guidry,stephanie.guidry@tbf.org,(617) 338-4508,
100,FEMA,1,"$2,500.00",submitting,r,,,,,,pgm,,,y,,,,,,,,,,,,,,
101,Greenleaf Foundation,3,$100.00,,r,,,,,,,,,y,,,https://greenleaf.org/,770 Pawtucket Drive,Westfield,IN,46074,(317) 669-8050,,,,,,
102,Bessie Pappas Foundation,1,"$5,000.00",,r,TEP,aili,,,,pgm,,,y,"arts, culture, families, health",,,PO Box 318,Belmont,MA,02478,(781) 862-2851,,John,Pappas,,,
103,Boston Jewish Community Philanthropies,2,"$5,000.00",,r,,,,,,pgm,,,,,,,,,,,,,,,,,
105,Orville W. Forte Charitable Foundation,2,"$5,000.00",,r,,,,,,,,,,"organizations working with disadvantaged Greater Boston youth to improve job skills, increase self-esteem and heighten personal aspirations.",,http://owfortefdn.org/,Orville Forte Charitable Foundation Inc. PO Box 600805,Newtonville,MA,02460,,info@owfortefdn.org,,,,,
106,City of Boston: Cahill Fund,2,"$1,000.00",,r,,,,,,,,,,,,,,,,,,,,,,,
107,Make the Dash Count Foundation,2,"$5,000.00",,r,,,,,,,,,,Serve youth within the local community,,http://www.makethedashcount.com/grant-guidelines.html,"2880 Lee Road, Suite A",Prosser,WA,99350,,inspired@makethedashcount.org,,,,,
108,"Old Ship, First Parish Hingham",2,"$1,000.00",,r,,,,,,,,,,,,http://oldshipchurch.org/,107 Main St,Hingham,MA,02043,(781) 749-1679,,,,,,
109,National Christian Foundation,4,"$5,000.00",,r,,,,,,,,,,,,http://www.nationalchristian.com/home,"11625 Rainwater Dr, Suite 500",Alpharetta,GA,30009,(404) 252-0100,info@nationalchristian.com,,,,,
110,CCHD: Catholic Campaign for Human Development,5,"$30,000.00",,r,,,,,,,,,,committed to supporting organizations led by low-income individuals as they work to break the cycle of poverty and improve their communities.,,http://www.usccb.org/about/catholic-campaign-for-human-development/grants/,"United States Conference of Catholic Bishops, 3211 Fourth Street NE",Washington DC,,20017,(202) 541-3000,,,,,,
111,Trinity Church Foundation,3,"$5,000.00",,r,,,,,,,,,,Unlock opportunity and change the odds for the youth of Boston,,http://www.trinityinspires.org/,206 Clarendon St,Boston ,MA,02116,(617) 536-0944,,,,,,
112,Lasermonks,3,"$25,000.00",,r,,,,,,,,,,,,,,,,,,,,,,,
113,Charles Cross,3,"$1,000.00",,r,,,,,,,,,,,,,,,,,,,,,,,
114,Boston Club,3,"$8,200.00",,r,,,,,,,,,,,,http://www.thebostonclub.com/,"The Boston Club, PO Box 1126",Marblehead,MA,01945,(781) 639-8002,info@TheBostonClub.com,,,,,
115,Haymarket Foundation,4,"$8,000.00",,r,,,,,,,,,,,,,,,,,,,,,,,
116,Lenny Fund,4,"$2,000.00",,,,,,,,,,,,"Top priority is given to independent, small, grassroots organizations with limited ability to raise other funds.",,http://www.thelennyzakimfund.org/home/grants,"33 Arch Streeth, 26th Floor",Boston,MA,02110,(617) 406-6036,office@thelennyzakimfund.org,,,,,
117,Trammell Crow,4,"$7,500.00",,,,,,,,,,,,,,,,,,,,,,,,,
118,City of Boston Arts Council,4,"$2,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
119,Nutritional Wisdom,4,"$35,000.00",,,,,,,,,,,,,,http://www.nutritionalwisdom.com/,,,,,(512) 243-7473,info@nutritionalwisdom.com,Carly,Pollack,,,
120,Polaroid Foundation,4,"$10,000.00",,,,,,,,,,,,"Nonprofit organizations with programs to benefit adult basic education, literacy, work force development and self-sufficiency life skills",,,,Cambridge,MA,02139,,,,,,,
122,War Tax Resisters,5,$750.00,,,,,,,,,,,,,,,,,,,,,,,,,
123,Carlisle Foundation,3,"$25,000.00",,r,,,,,,,,,,,,http://carlislecharitablefoundation.org/,PO Box 935,Kennebunk,ME,04043,(207) 467-3243,info@ carlislecharitablefoundation.org,,,,,
125,Mellowes Fund,4,"$3,000.00",,r,,,,,,,,,,,,,,,,,,,,,,,
126,Bell Atlantic,4,"$2,500.00",,r,,,,,,,,,,,,,,,,,,,,,,,
127,Fund for Self Reliance,4,"$10,000.00",,r,,,,,,,,,,,,,,,,,,,,,,,
128,Thermo Electron Foundation,5,$500.00,,r,,,,,,,,,,,,,,,,,,,,,,,
